nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,2,16,1,1,8,2
2,1,32,1,1,2,3
3,3,32,1,1,8,3
4,3,32,1,1,3,8
5,4,16,1,1,2,1
6,1,32,1,1,2,16
7,2,32,1,1,3,16
8,1,32,1,1,8,16
9,2,16,1,1,1,2
10,2,32,1,1,16,8
11,4,32,1,1,8,16
12,3,32,1,1,8,16
13,4,16,1,1,1,8
14,1,16,1,1,4,1
15,1,32,1,1,2,8
16,2,32,1,1,3,2
17,3,16,1,1,4,2
18,3,16,1,1,1,4
19,4,16,1,1,4,1
20,3,16,1,1,8,4
21,1,16,1,1,2,1
22,3,16,1,1,8,1
23,1,16,1,1,2,4
24,3,16,1,1,8,2
25,4,16,1,1,4,2
26,4,16,1,1,8,4
27,4,32,1,1,16,3
28,2,16,1,1,1,4
29,2,32,1,1,16,2
30,1,16,1,1,2,8
31,4,16,1,1,8,1
32,2,16,1,1,2,4
33,1,32,1,1,2,3
34,4,16,1,1,1,8
35,3,32,1,1,8,2
36,2,16,1,1,2,8
