nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,1,16,1,1,4,8
2,2,16,1,1,4,2
3,2,32,1,1,2,16
4,2,16,1,1,8,4
5,2,16,1,1,1,4
6,2,16,1,1,4,8
7,1,16,1,1,1,2
8,1,16,1,1,8,4
9,2,32,1,1,3,2
10,1,16,1,1,2,8
11,1,32,1,1,16,3
12,1,32,1,1,3,16
13,2,32,1,1,3,8
14,1,32,1,1,3,16
15,1,16,1,1,8,1
16,2,32,1,1,2,3
17,1,32,1,1,8,2
18,1,32,1,1,8,16
19,2,32,1,1,2,8
20,2,16,1,1,2,1
21,2,16,1,1,1,8
22,2,16,1,1,8,2
23,1,32,1,1,16,3
24,1,16,1,1,2,4
25,1,16,1,1,4,2
26,2,32,1,1,8,3
27,1,16,1,1,4,1
28,1,32,1,1,3,8
29,2,16,1,1,8,1
30,2,16,1,1,2,1
31,1,32,1,1,16,2
32,2,32,1,1,8,2
33,1,16,1,1,8,4
34,1,16,1,1,1,4
35,2,32,1,1,2,16
36,2,16,1,1,1,2
