Trial,Endowment,Choice,Decision,More_Prop,Less_Prop
7,15,3,0,0.333333333333333,0.2
10,23,1,0,0.565217391304348,0.0434782608695652
11,23,4,0,0.304347826086957,0.173913043478261
13,23,4,0,0.434782608695652,0.173913043478261
15,19,1,0,0.473684210526316,0.0526315789473684
17,15,9,1,0.6,0.333333333333333
21,25,2,0,0.44,0.08
23,21,1,0,0.19047619047619,0.0476190476190476
24,15,3,0,0.466666666666667,0.2
3,25,5,0,0.6,0.2
4,15,3,0,0.466666666666667,0.2
6,23,1,0,0.434782608695652,0.0434782608695652
8,15,7,1,0.466666666666667,0.2
13,23,1,0,0.304347826086957,0.0434782608695652
23,23,13,1,0.565217391304348,0.434782608695652
