Trial,Endowment,Choice,Decision,More_Prop,Less_Prop
3,23,10,0,0.565217391304348,0.434782608695652
8,23,4,0,0.434782608695652,0.173913043478261
14,17,1,0,0.294117647058824,0.0588235294117647
17,17,3,0,0.588235294117647,0.176470588235294
21,19,4,0,0.578947368421053,0.210526315789474
23,23,1,0,0.173913043478261,0.0434782608695652
24,21,9,0,0.571428571428571,0.428571428571429
26,21,4,0,0.333333333333333,0.19047619047619
28,17,3,0,0.294117647058824,0.176470588235294
29,17,1,0,0.294117647058824,0.0588235294117647
