Trial,Endowment,Choice,Decision,More_Prop,Less_Prop
1,17,1,0,0.176470588235294,0.0588235294117647
10,17,3,0,0.470588235294118,0.176470588235294
13,15,1,0,0.6,0.0666666666666667
14,23,1,0,0.565217391304348,0.0434782608695652
24,15,1,0,0.466666666666667,0.0666666666666667
25,21,7,0,0.428571428571429,0.333333333333333
2,19,6,0,0.473684210526316,0.315789473684211
4,21,4,0,0.428571428571429,0.19047619047619
9,15,9,1,0.6,0.333333333333333
10,15,9,1,0.6,0.466666666666667
11,23,1,0,0.173913043478261,0.0434782608695652
12,23,1,0,0.434782608695652,0.0434782608695652
20,15,1,0,0.466666666666667,0.0666666666666667
22,23,10,1,0.434782608695652,0.0434782608695652
27,15,7,1,0.466666666666667,0.2
30,15,9,1,0.6,0.2
