Trial,Endowment,Choice,Decision,More_Prop,Less_Prop
1,23,1,0,0.173913043478261,0.0434782608695652
2,25,11,0,0.6,0.44
3,17,8,1,0.470588235294118,0.0588235294117647
4,21,4,0,0.428571428571429,0.19047619047619
5,15,3,0,0.6,0.2
7,19,1,0,0.578947368421053,0.0526315789473684
8,19,6,0,0.473684210526316,0.315789473684211
10,21,1,0,0.333333333333333,0.0476190476190476
13,25,8,0,0.44,0.32
14,23,4,0,0.434782608695652,0.173913043478261
17,25,2,0,0.32,0.08
19,21,9,0,0.571428571428571,0.428571428571429
20,23,7,0,0.565217391304348,0.304347826086957
22,21,1,0,0.428571428571429,0.0476190476190476
24,23,1,0,0.565217391304348,0.0434782608695652
5,19,1,0,0.315789473684211,0.0526315789473684
6,25,8,0,0.44,0.32
7,15,5,0,0.466666666666667,0.333333333333333
8,21,7,0,0.428571428571429,0.333333333333333
11,23,13,1,0.565217391304348,0.173913043478261
12,17,8,0,0.588235294117647,0.470588235294118
14,19,1,0,0.315789473684211,0.0526315789473684
15,15,1,0,0.466666666666667,0.0666666666666667
16,21,7,0,0.571428571428571,0.333333333333333
17,15,9,1,0.6,0.333333333333333
18,17,1,0,0.470588235294118,0.0588235294117647
20,21,4,0,0.428571428571429,0.19047619047619
21,19,1,0,0.578947368421053,0.0526315789473684
28,21,1,0,0.19047619047619,0.0476190476190476
30,15,7,0,0.6,0.466666666666667
