Trial,Endowment,Choice,Decision,More_Prop,Less_Prop
3,23,13,1,0.565217391304348,0.304347826086957
4,15,3,1,0.2,0.0666666666666667
5,17,5,0,0.588235294117647,0.294117647058824
7,21,9,0,0.571428571428571,0.428571428571429
8,17,5,0,0.470588235294118,0.294117647058824
10,19,11,1,0.578947368421053,0.0526315789473684
12,15,1,0,0.466666666666667,0.0666666666666667
17,19,9,1,0.473684210526316,0.0526315789473684
18,19,4,1,0.210526315789474,0.0526315789473684
19,17,1,0,0.294117647058824,0.0588235294117647
20,21,1,0,0.428571428571429,0.0476190476190476
22,21,4,0,0.571428571428571,0.19047619047619
23,19,1,0,0.578947368421053,0.0526315789473684
26,23,1,0,0.565217391304348,0.0434782608695652
30,15,3,0,0.333333333333333,0.2
3,23,7,0,0.434782608695652,0.304347826086957
4,17,3,0,0.294117647058824,0.176470588235294
6,17,5,0,0.470588235294118,0.294117647058824
8,21,7,0,0.571428571428571,0.333333333333333
12,17,3,0,0.470588235294118,0.176470588235294
15,25,5,0,0.6,0.2
16,19,1,0,0.210526315789474,0.0526315789473684
19,17,1,0,0.470588235294118,0.0588235294117647
20,17,3,0,0.294117647058824,0.176470588235294
21,17,5,0,0.588235294117647,0.294117647058824
23,21,1,0,0.571428571428571,0.0476190476190476
26,15,1,0,0.333333333333333,0.0666666666666667
28,15,1,0,0.466666666666667,0.0666666666666667
