Trial,Endowment,Choice,Decision,More_Prop,Less_Prop
1,25,11,1,0.44,0.32
3,19,6,1,0.315789473684211,0.0526315789473684
4,17,1,0,0.588235294117647,0.0588235294117647
6,17,3,0,0.294117647058824,0.176470588235294
7,19,4,0,0.578947368421053,0.210526315789474
10,17,1,0,0.470588235294118,0.0588235294117647
15,25,2,0,0.2,0.08
16,19,4,0,0.473684210526316,0.210526315789474
17,17,5,0,0.470588235294118,0.294117647058824
18,21,4,0,0.571428571428571,0.19047619047619
21,25,8,0,0.6,0.32
23,15,3,0,0.466666666666667,0.2
27,25,2,0,0.6,0.08
28,25,8,0,0.44,0.32
29,17,3,0,0.294117647058824,0.176470588235294
1,23,4,0,0.434782608695652,0.173913043478261
5,25,8,1,0.32,0.08
6,25,2,0,0.2,0.08
7,17,3,0,0.588235294117647,0.176470588235294
8,17,1,0,0.470588235294118,0.0588235294117647
9,23,1,0,0.304347826086957,0.0434782608695652
12,23,7,1,0.304347826086957,0.173913043478261
14,19,9,0,0.578947368421053,0.473684210526316
20,15,3,0,0.333333333333333,0.2
21,25,11,0,0.6,0.44
24,25,5,0,0.44,0.2
27,25,2,0,0.2,0.08
28,15,1,0,0.6,0.0666666666666667
29,25,2,0,0.44,0.08
30,19,4,0,0.315789473684211,0.210526315789474
