Trial,Endowment,Choice,Decision,More_Prop,Less_Prop
2,19,11,1,0.578947368421053,0.315789473684211
5,23,4,1,0.173913043478261,0.0434782608695652
8,23,10,0,0.565217391304348,0.434782608695652
9,15,9,1,0.6,0.2
11,25,11,1,0.44,0.08
12,17,8,0,0.588235294117647,0.470588235294118
13,25,8,1,0.32,0.08
14,15,7,1,0.466666666666667,0.0666666666666667
19,15,5,0,0.6,0.333333333333333
20,23,7,1,0.304347826086957,0.173913043478261
22,15,3,1,0.2,0.0666666666666667
24,25,11,1,0.44,0.2
25,17,1,0,0.588235294117647,0.0588235294117647
26,23,7,1,0.304347826086957,0.0434782608695652
