Trial,Endowment,Choice,Decision,More_Prop,Less_Prop
1,15,5,1,0.333333333333333,0.0666666666666667
2,19,11,1,0.578947368421053,0.0526315789473684
5,23,10,1,0.434782608695652,0.173913043478261
7,17,3,1,0.176470588235294,0.0588235294117647
9,23,7,1,0.304347826086957,0.0434782608695652
10,21,4,1,0.19047619047619,0.0476190476190476
11,21,12,1,0.571428571428571,0.333333333333333
14,19,11,1,0.578947368421053,0.210526315789474
18,15,7,1,0.466666666666667,0.0666666666666667
22,15,7,1,0.466666666666667,0.333333333333333
24,15,9,1,0.6,0.466666666666667
25,19,6,1,0.315789473684211,0.210526315789474
27,21,12,1,0.571428571428571,0.428571428571429
29,15,9,1,0.6,0.0666666666666667
30,19,11,1,0.578947368421053,0.210526315789474
