Trial,Endowment,Choice,Decision,More_Prop,Less_Prop
2,23,10,1,0.434782608695652,0.173913043478261
3,17,5,0,0.588235294117647,0.294117647058824
4,17,8,1,0.470588235294118,0.0588235294117647
10,25,11,1,0.44,0.32
11,15,3,1,0.2,0.0666666666666667
13,19,1,0,0.578947368421053,0.0526315789473684
15,23,10,1,0.434782608695652,0.304347826086957
16,17,5,0,0.470588235294118,0.294117647058824
17,25,8,0,0.6,0.32
18,17,5,1,0.294117647058824,0.0588235294117647
19,19,4,0,0.578947368421053,0.210526315789474
22,17,1,0,0.588235294117647,0.0588235294117647
23,15,3,0,0.6,0.2
25,15,5,0,0.6,0.333333333333333
26,21,9,0,0.571428571428571,0.428571428571429
