Trial,Endowment,Choice,Decision,More_Prop,Less_Prop
1,21,4,0,0.333333333333333,0.19047619047619
2,25,15,1,0.6,0.08
3,23,13,1,0.565217391304348,0.173913043478261
4,17,5,1,0.294117647058824,0.0588235294117647
9,25,15,1,0.6,0.2
10,25,11,1,0.44,0.2
13,23,10,1,0.434782608695652,0.173913043478261
19,23,13,1,0.565217391304348,0.304347826086957
22,23,7,1,0.304347826086957,0.173913043478261
24,23,7,1,0.304347826086957,0.173913043478261
25,19,9,1,0.473684210526316,0.0526315789473684
26,25,15,1,0.6,0.44
27,21,4,1,0.19047619047619,0.0476190476190476
29,23,4,1,0.173913043478261,0.0434782608695652
