Trial,Endowment,Choice,Decision,More_Prop,Less_Prop
1,19,6,0,0.473684210526316,0.315789473684211
7,21,1,0,0.333333333333333,0.0476190476190476
10,23,1,0,0.173913043478261,0.0434782608695652
12,19,4,0,0.473684210526316,0.210526315789474
15,15,1,0,0.2,0.0666666666666667
16,23,10,0,0.565217391304348,0.434782608695652
27,19,4,0,0.315789473684211,0.210526315789474
28,19,11,1,0.578947368421053,0.473684210526316
29,17,1,0,0.294117647058824,0.0588235294117647
5,23,4,0,0.304347826086957,0.173913043478261
8,21,12,1,0.571428571428571,0.333333333333333
18,15,9,1,0.6,0.466666666666667
19,19,1,0,0.473684210526316,0.0526315789473684
20,19,1,0,0.315789473684211,0.0526315789473684
24,17,1,0,0.176470588235294,0.0588235294117647
