Trial,Endowment,Choice,Decision,More_Prop,Less_Prop
3,19,1,0,0.578947368421053,0.0526315789473684
5,15,5,0,0.6,0.333333333333333
7,21,1,0,0.428571428571429,0.0476190476190476
8,21,4,0,0.333333333333333,0.19047619047619
13,21,7,0,0.428571428571429,0.333333333333333
15,21,4,0,0.428571428571429,0.19047619047619
16,21,4,0,0.571428571428571,0.19047619047619
18,17,1,0,0.176470588235294,0.0588235294117647
19,23,1,0,0.434782608695652,0.0434782608695652
20,25,5,0,0.6,0.2
21,23,1,0,0.304347826086957,0.0434782608695652
22,15,1,0,0.2,0.0666666666666667
25,19,4,0,0.473684210526316,0.210526315789474
27,17,3,0,0.470588235294118,0.176470588235294
29,25,8,0,0.6,0.32
1,21,4,1,0.19047619047619,0.0476190476190476
5,21,7,0,0.428571428571429,0.333333333333333
6,21,4,1,0.19047619047619,0.0476190476190476
7,21,1,0,0.333333333333333,0.0476190476190476
8,21,4,0,0.333333333333333,0.19047619047619
9,21,4,0,0.428571428571429,0.19047619047619
12,19,6,0,0.578947368421053,0.315789473684211
14,15,1,0,0.466666666666667,0.0666666666666667
16,23,10,0,0.565217391304348,0.434782608695652
17,25,5,0,0.44,0.2
18,15,3,0,0.333333333333333,0.2
19,23,1,0,0.565217391304348,0.0434782608695652
26,19,4,0,0.578947368421053,0.210526315789474
27,15,5,0,0.466666666666667,0.333333333333333
30,23,1,0,0.565217391304348,0.0434782608695652
