Trial,Endowment,Choice,Decision,More_Prop,Less_Prop
6,21,7,1,0.333333333333333,0.19047619047619
9,23,13,1,0.565217391304348,0.0434782608695652
11,19,6,1,0.315789473684211,0.0526315789473684
12,15,9,1,0.6,0.333333333333333
15,17,3,1,0.176470588235294,0.0588235294117647
16,19,9,1,0.473684210526316,0.0526315789473684
18,15,7,1,0.466666666666667,0.333333333333333
21,23,13,1,0.565217391304348,0.434782608695652
23,17,8,1,0.470588235294118,0.176470588235294
25,19,11,1,0.578947368421053,0.210526315789474
26,25,15,1,0.6,0.2
27,23,4,1,0.173913043478261,0.0434782608695652
28,15,5,1,0.333333333333333,0.2
29,25,8,1,0.32,0.2
30,21,12,1,0.571428571428571,0.333333333333333
