Trial,Endowment,Choice,Decision,More_Prop,Less_Prop
2,23,7,1,0.304347826086957,0.173913043478261
3,15,5,1,0.333333333333333,0.0666666666666667
4,21,9,1,0.428571428571429,0.333333333333333
10,15,7,1,0.466666666666667,0.0666666666666667
11,15,9,1,0.6,0.333333333333333
13,19,11,1,0.578947368421053,0.0526315789473684
15,17,8,0,0.588235294117647,0.470588235294118
20,21,1,0,0.428571428571429,0.0476190476190476
21,23,7,1,0.304347826086957,0.0434782608695652
22,25,5,1,0.2,0.08
23,23,13,1,0.565217391304348,0.304347826086957
24,23,13,1,0.565217391304348,0.434782608695652
25,15,7,1,0.466666666666667,0.2
28,25,15,1,0.6,0.2
29,17,10,1,0.588235294117647,0.176470588235294
