Trial,Endowment,Choice,Decision,More_Prop,Less_Prop
1,23,13,1,0.565217391304348,0.304347826086957
2,25,15,1,0.6,0.2
4,21,12,1,0.571428571428571,0.428571428571429
6,19,6,1,0.315789473684211,0.0526315789473684
9,23,10,1,0.434782608695652,0.304347826086957
10,21,7,1,0.333333333333333,0.0476190476190476
11,15,9,1,0.6,0.466666666666667
12,23,10,1,0.434782608695652,0.304347826086957
14,15,7,1,0.466666666666667,0.0666666666666667
17,23,7,1,0.304347826086957,0.173913043478261
23,23,13,1,0.565217391304348,0.0434782608695652
24,15,9,1,0.6,0.0666666666666667
26,15,3,0,0.333333333333333,0.2
28,21,4,1,0.19047619047619,0.0476190476190476
30,15,9,1,0.6,0.466666666666667
